name,label,concept,predicateType,group,limit,hasGeoCollectionSupport,required,attributes
PL001036,Total!!Population of two or more races!!Population of three races!!White; Native Hawaiian and Other Pacific Islander; Some other race,RACE [71],int,PL001,0,,,
PL001035,Total!!Population of two or more races!!Population of three races!!White; Asian; Some other race,RACE [71],int,PL001,0,,,
PL002001,Total,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL001034,Total!!Population of two or more races!!Population of three races!!White; Asian; Native Hawaiian and Other Pacific Islander,RACE [71],int,PL001,0,,,
PL001029,Total!!Population of two or more races!!Population of three races!!White; Black or African American; Native Hawaiian and Other Pacific Islander,RACE [71],int,PL001,0,,,
PL001028,Total!!Population of two or more races!!Population of three races!!White; Black or African American; Asian,RACE [71],int,PL001,0,,,
PL001027,Total!!Population of two or more races!!Population of three races!!White; Black or African American; American Indian and Alaska Native,RACE [71],int,PL001,0,,,
PL002057,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Asian; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL003025,Total!!Population of two or more races!!Population of two races!!Native Hawaiian and Other Pacific Islander; Some other race,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
ANRC,Alaska Native Regional Corporation,,,N/A,0,,,
PL002058,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL003026,Total!!Population of two or more races!!Population of three races,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
PL002059,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Asian; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL003027,Total!!Population of two or more races!!Population of three races!!White; Black or African American; American Indian and Alaska Native,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
PL003028,Total!!Population of two or more races!!Population of three races!!White; Black or African American; Asian,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
PL003021,Total!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
PL002053,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL002054,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; Asian; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL003022,Total!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Some other race,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
PL003023,Total!!Population of two or more races!!Population of two races!!Asian; Native Hawaiian and Other Pacific Islander,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
PL002055,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL003024,Total!!Population of two or more races!!Population of two races!!Asian; Some other race,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
PL002056,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL002050,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Asian,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL002051,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL002052,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL003020,Total!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Asian,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
BLKGRP,Census Block Group,,,N/A,0,,,
AIANHH,American Indian Area/Alaska Native Area/Hawaiian Home Land,,,N/A,0,,,
PL003018,Total!!Population of two or more races!!Population of two races!!Black or African American; Native Hawaiian and Other Pacific Islander,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
PL003019,Total!!Population of two or more races!!Population of two races!!Black or African American; Some other race,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
PL004005,Total!!Not Hispanic or Latino!!Population of one race!!White alone,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL002068,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
PL003036,Total!!Population of two or more races!!Population of three races!!White; Native Hawaiian and Other Pacific Islander; Some other race,RACE FOR THE POPULATION 18 YEARS AND OVER [71],int,PL003,0,,,
SUBMCD,Sub-Minor Civil Division (FIPS),,,N/A,0,,,
PL002069,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",int,PL002,0,,,
