state,county,tract,SUMLEVEL,GEO_ID,GEOCOMP,LSAD_NAME,STATE,COUNTY,COUSUB,TRACT,BLKGRP,BLOCK,PLACE,CONCIT,SLDL,SLDU,VTD,P001001,P001002,P001003,P001004,P001005,P001006,P001007,P001008,P001009,P001010,P001026,P001047,P001063,P001070,P002001,P002002,P002003,P002004,P002005,P002006,P002007,P002008,P002009,P002010,P002011,P002012,P002028,P002049,P002065,P002072,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P003009,P003010,P003026,P003047,P003063,P003070,P004001,P004002,P004003,P004004,P004005,P004006,P004007,P004008,P004009,P004010,P004011,P004012,P004028,P004049,P004065,P004072,H001001,H001002,H001003
17,043,845100,140,1400000US17043845100,00,Census Tract 8451,17,043,,845100,,,,,,,,6345,6231,5879,43,1,254,1,53,114,106,8,0,0,0,6345,303,6042,5955,5646,41,1,253,1,13,87,80,7,0,0,0,4160,4110,3875,27,1,172,1,34,50,47,3,0,0,0,4160,185,3975,3942,3740,25,1,172,1,3,33,30,3,0,0,0,2256,2148,108
17,043,845200,140,1400000US17043845200,00,Census Tract 8452,17,043,,845200,,,,,,,,4854,4768,4493,32,4,214,5,20,86,86,0,0,0,0,4854,162,4692,4620,4364,32,4,214,2,4,72,72,0,0,0,0,3033,3015,2835,17,4,147,2,10,18,18,0,0,0,0,3033,79,2954,2942,2772,17,4,147,2,0,12,12,0,0,0,0,1565,1482,83
17,043,845300,140,1400000US17043845300,00,Census Tract 8453,17,043,,845300,,,,,,,,3328,3290,3170,32,1,84,0,3,38,36,2,0,0,0,3328,93,3235,3199,3082,32,1,84,0,0,36,34,2,0,0,0,2115,2104,2013,24,1,64,0,2,11,11,0,0,0,0,2115,49,2066,2056,1967,24,1,64,0,0,10,10,0,0,0,0,1078,979,99
17,043,845401,140,1400000US17043845401,00,Census Tract 8454.01,17,043,,845401,,,,,,,,3179,3130,2684,86,1,337,0,22,49,45,4,0,0,0,3179,147,3032,2992,2571,83,0,337,0,1,40,36,4,0,0,0,2370,2348,2054,46,1,229,0,18,22,19,3,0,0,0,2370,88,2282,2265,1990,45,0,229,0,1,17,14,3,0,0,0,1348,1237,111
17,043,845402,140,1400000US17043845402,00,Census Tract 8454.02,17,043,,845402,,,,,,,,2960,2900,2208,58,0,596,1,37,60,56,4,0,0,0,2960,151,2809,2760,2103,57,0,595,0,5,49,45,4,0,0,0,2310,2277,1756,39,0,457,1,24,33,31,2,0,0,0,2310,99,2211,2182,1686,38,0,456,0,2,29,27,2,0,0,0,1167,1082,85
17,043,845502,140,1400000US17043845502,00,Census Tract 8455.02,17,043,,845502,,,,,,,,4963,4855,3824,379,2,585,1,64,108,101,6,1,0,0,4963,363,4600,4527,3564,371,1,582,0,9,73,67,5,1,0,0,4158,4094,3311,277,2,455,1,48,64,61,2,1,0,0,4158,258,3900,3854,3121,272,1,453,0,7,46,43,2,1,0,0,2876,2614,262
17,043,845505,140,1400000US17043845505,00,Census Tract 8455.05,17,043,,845505,,,,,,,,4507,4370,2953,491,23,580,2,321,137,124,13,0,0,0,4507,709,3798,3724,2644,486,4,571,2,17,74,68,6,0,0,0,3391,3314,2318,301,12,486,2,195,77,72,5,0,0,0,3391,453,2938,2899,2112,299,3,478,2,5,39,36,3,0,0,0,1685,1604,81
17,043,845506,140,1400000US17043845506,00,Census Tract 8455.06,17,043,,845506,,,,,,,,3854,3746,2890,293,10,390,0,163,108,107,1,0,0,0,3854,562,3292,3215,2542,286,1,383,0,3,77,76,1,0,0,0,3061,3004,2398,181,5,308,0,112,57,56,1,0,0,0,3061,365,2696,2658,2176,177,1,303,0,1,38,37,1,0,0,0,1931,1755,176
17,043,845507,140,1400000US17043845507,00,Census Tract 8455.07,17,043,,845507,,,,,,,,3519,3480,3234,33,5,176,0,32,39,39,0,0,0,0,3519,150,3369,3344,3137,29,2,174,0,2,25,25,0,0,0,0,2777,2761,2561,30,3,144,0,23,16,16,0,0,0,0,2777,103,2674,2662,2488,28,2,143,0,1,12,12,0,0,0,0,1346,1319,27
17,043,845508,140,1400000US17043845508,00,Census Tract 8455.08,17,043,,845508,,,,,,,,3508,3480,3045,60,6,343,0,26,28,28,0,0,0,0,3508,165,3343,3320,2914,58,3,343,0,2,23,23,0,0,0,0,3001,2989,2657,42,5,265,0,20,12,12,0,0,0,0,3001,130,2871,2862,2554,41,2,265,0,0,9,9,0,0,0,0,1762,1599,163
