state,county,SUMLEVEL,GEO_ID,GEOCOMP,LSAD_NAME,STATE,COUNTY,COUSUB,TRACT,BLKGRP,BLOCK,PLACE,CONCIT,SLDL,SLDU,VTD,P001001,P001002,P001003,P001004,P001005,P001006,P001007,P001008,P001009,P001010,P001026,P001047,P001063,P001070,P002001,P002002,P002003,P002004,P002005,P002006,P002007,P002008,P002009,P002010,P002011,P002012,P002028,P002049,P002065,P002072,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P003009,P003010,P003026,P003047,P003063,P003070,P004001,P004002,P004003,P004004,P004005,P004006,P004007,P004008,P004009,P004010,P004011,P004012,P004028,P004049,P004065,P004072,H001001,H001002,H001003
01,097,050,0500000US01097,00,Mobile County,01,097,,,,,,,,,,412992,406970,248647,142992,3681,7561,204,3885,6022,5579,416,22,5,0,412992,9936,403056,397809,243904,142272,3541,7507,157,428,5247,4885,343,16,3,0,309411,306134,195148,99886,2671,5626,152,2651,3277,3013,243,16,5,0,309411,6933,302478,299653,191785,99396,2564,5584,118,206,2825,2612,199,11,3,0,178196,158435,19761
01,099,050,0500000US01099,00,Monroe County,01,099,,,,,,,,,,23068,22734,12718,9614,260,67,9,66,334,325,9,0,0,0,23068,220,22848,22537,12621,9581,256,67,4,8,311,303,8,0,0,0,17227,17060,9902,6864,196,56,6,36,167,161,6,0,0,0,17227,140,17087,16930,9835,6841,194,56,3,1,157,152,5,0,0,0,11333,9214,2119
01,101,050,0500000US01101,00,Montgomery County,01,101,,,,,,,,,,229363,226457,90656,125477,589,4821,171,4743,2906,2631,257,16,2,0,229363,8314,221049,218610,88099,124928,520,4792,84,187,2439,2215,213,11,0,0,173196,171658,74205,90359,440,3450,131,3073,1538,1401,123,12,2,0,173196,5491,167705,166420,72450,89991,395,3425,68,91,1285,1167,108,10,0,0,101641,89981,11660
01,103,050,0500000US01103,00,Morgan County,01,103,,,,,,,,,,119490,117126,95404,14185,1042,691,107,5697,2364,2287,69,8,0,0,119490,9156,110334,108386,92585,14059,928,665,69,80,1948,1895,49,4,0,0,90866,89666,74736,10119,770,518,58,3465,1200,1158,38,4,0,0,90866,5591,85275,84265,72958,10031,706,508,37,25,1010,979,28,3,0,0,51193,47030,4163
01,105,050,0500000US01105,00,Perry County,01,105,,,,,,,,,,10591,10548,3204,7276,17,30,5,16,43,38,5,0,0,0,10591,114,10477,10442,3142,7244,17,30,5,4,35,34,1,0,0,0,8038,8013,2793,5174,15,22,2,7,25,20,5,0,0,0,8038,86,7952,7933,2744,5149,15,22,2,1,19,18,1,0,0,0,4737,3947,790
01,107,050,0500000US01107,00,Pickens County,01,107,,,,,,,,,,19746,19514,11110,8211,28,36,1,128,232,227,5,0,0,0,19746,313,19433,19275,11027,8169,28,32,1,18,158,153,5,0,0,0,15145,15016,8914,5966,26,25,1,84,129,127,2,0,0,0,15145,242,14903,14831,8846,5931,26,22,1,5,72,70,2,0,0,0,9483,8012,1471
01,109,050,0500000US01109,00,Pike County,01,109,,,,,,,,,,32899,32409,19144,12054,192,654,24,341,490,468,20,2,0,0,32899,730,32169,31727,18887,11990,185,645,6,14,442,423,17,2,0,0,26217,25919,15883,9042,148,601,17,228,298,279,18,1,0,0,26217,475,25742,25464,15716,8998,143,592,6,9,278,261,16,1,0,0,15267,13210,2057
01,111,050,0500000US01111,00,Randolph County,01,111,,,,,,,,,,22913,22652,17532,4607,84,55,5,369,261,252,9,0,0,0,22913,649,22264,22035,17280,4604,84,54,5,8,229,222,7,0,0,0,17440,17311,13688,3299,68,43,4,209,129,122,7,0,0,0,17440,372,17068,16954,13538,3297,68,42,4,5,114,109,5,0,0,0,11982,9164,2818
01,113,050,0500000US01113,00,Russell County,01,113,,,,,,,,,,52947,51843,28449,22135,219,236,113,691,1104,1018,81,5,0,0,52947,1946,51001,50096,27591,21926,189,223,112,55,905,844,59,2,0,0,39448,38926,22357,15678,162,206,77,446,522,500,21,1,0,0,39448,1195,38253,37811,21817,15557,145,197,76,19,442,424,18,0,0,0,24595,21229,3366
01,115,050,0500000US01115,00,St. Clair County,01,115,,,,,,,,,,83593,82470,73741,7150,281,518,46,734,1123,1079,26,4,14,0,83593,1716,81877,80914,72947,7098,252,512,41,64,963,926,22,4,11,0,63767,63182,56664,5436,223,380,31,448,585,556,17,2,10,0,63767,1053,62714,62195,56160,5405,206,376,27,21,519,493,17,2,7,0,35541,31624,3917
